Day,Replicate,Mosq.species,Met_RFP,Met_Hyb,Ctrl_Fung,Ctrl_Pyr,Perm,Delta
10,Replicate3,An.gambiae s.s.,0,1,0,0,0,0
10.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
11,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
11.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
12,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
12.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
13,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
13.5,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
14,Replicate3,An.gambiae s.s.,0,0,0,0,0,0
Alive,Replicate3,An.gambiae s.s.,0,0,23,25,22,20
0,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
0.5,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
1,Replicate4,An.gambiae s.s.,0,0,0,0,3,3
1.5,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
2,Replicate4,An.gambiae s.s.,0,1,0,0,0,0
2.5,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
3,Replicate4,An.gambiae s.s.,1,2,0,0,0,0
3.5,Replicate4,An.gambiae s.s.,1,4,0,0,0,0
4,Replicate4,An.gambiae s.s.,0,4,0,0,0,0
4.5,Replicate4,An.gambiae s.s.,2,5,0,0,0,1
5,Replicate4,An.gambiae s.s.,0,3,0,0,0,0
5.5,Replicate4,An.gambiae s.s.,4,2,0,0,0,0
6,Replicate4,An.gambiae s.s.,1,2,0,0,0,0
6.5,Replicate4,An.gambiae s.s.,1,2,0,0,0,0
7,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
7.5,Replicate4,An.gambiae s.s.,3,0,0,0,1,0
8,Replicate4,An.gambiae s.s.,2,0,0,0,0,0
8.5,Replicate4,An.gambiae s.s.,1,0,0,0,0,0
9,Replicate4,An.gambiae s.s.,1,0,0,0,0,0
9.5,Replicate4,An.gambiae s.s.,2,0,0,0,0,0
10,Replicate4,An.gambiae s.s.,2,0,0,0,0,0
10.5,Replicate4,An.gambiae s.s.,1,0,0,0,0,0
11,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
11.5,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
12,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
12.5,Replicate4,An.gambiae s.s.,0,0,0,0,0,0
13,Replicate4,An.gambiae s.s.,0,0,0,0,0,1
13.5,Replicate4,An.gambiae s.s.,0,0,0,0,1,0
14,Replicate4,An.gambiae s.s.,0,0,0,0,1,0
Alive,Replicate4,An.gambiae s.s.,1,0,25,25,17,18
0,Replicate1,An.kisumu,0,0,0,0,0,0
0.5,Replicate1,An.kisumu,0,0,0,0,0,0
1,Replicate1,An.kisumu,0,0,0,0,25,25
1.5,Replicate1,An.kisumu,0,0,0,0,0,0
