Replicate,Mosq.strain,days post inf, num mosq,testing net,typ fung strain,testingtime sec,landtime sec,flighttime sec,num flight,num landing
2,An.coluzzii,2,3,contr_le,RFP,300,158,142,4,3
2,An.coluzzii,2,4,contr_le,RFP,300,237,63,2,4
2,An.coluzzii,2,5,contr_le,RFP,300,221,79,4,3
2,An.coluzzii,2,1,contr_le,Hybrid,300,221,79,3,4
2,An.coluzzii,2,2,contr_le,Hybrid,300,224,76,3,3
2,An.coluzzii,2,3,contr_le,Hybrid,300,183,117,4,5
2,An.coluzzii,2,4,contr_le,Hybrid,300,196,104,4,5
2,An.coluzzii,2,5,contr_le,Hybrid,300,179,121,4,6
2,An.coluzzii,2,1,trait_e,ctrl,300,9,291,3,2
2,An.coluzzii,2,2,trait_e,ctrl,300,0,300,1,0
2,An.coluzzii,2,3,trait_e,ctrl,300,76,224,6,2
2,An.coluzzii,2,4,trait_e,ctrl,300,180,120,4,1
2,An.coluzzii,2,5,trait_e,ctrl,300,65,235,9,4
2,An.coluzzii,2,1,trait_e,RFP,300,110,190,6,4
2,An.coluzzii,2,2,trait_e,RFP,300,14,286,5,3
2,An.coluzzii,2,3,trait_e,RFP,300,121,179,3,3
2,An.coluzzii,2,4,trait_e,RFP,300,81,219,7,6
2,An.coluzzii,2,5,trait_e,RFP,300,0,300,1,0
2,An.coluzzii,2,1,trait_e,Hybrid,300,83,217,5,4
2,An.coluzzii,2,2,trait_e,Hybrid,300,0,300,2,1
2,An.coluzzii,2,3,trait_e,Hybrid,300,95,205,5,4
2,An.coluzzii,2,4,trait_e,Hybrid,300,114,186,6,7
2,An.coluzzii,2,5,trait_e,Hybrid,300,129,171,6,7
3,An.coluzzii,2,1,ctrl,contr_le,300,200,100,3,3
3,An.coluzzii,2,2,ctrl,contr_le,300,204,96,3,3
3,An.coluzzii,2,3,ctrl,contr_le,300,189,111,2,2
3,An.coluzzii,2,4,ctrl,contr_le,300,221,79,4,1
3,An.coluzzii,2,5,ctrl,contr_le,300,223,77,2,2
3,An.coluzzii,2,1,ctrl,RFP,300,149,151,3,2
3,An.coluzzii,2,2,ctrl,RFP,300,214,86,4,3
3,An.coluzzii,2,3,ctrl,RFP,300,236,64,4,2
3,An.coluzzii,2,4,ctrl,RFP,300,189,111,5,1
3,An.coluzzii,2,5,ctrl,RFP,300,228,72,2,2
3,An.coluzzii,2,1,ctrl,Hybrid,300,156,144,3,2
3,An.coluzzii,2,2,ctrl,Hybrid,300,157,143,3,3
3,An.coluzzii,2,3,ctrl,Hybrid,300,188,112,4,4
3,An.coluzzii,2,4,ctrl,Hybrid,300,210,90,3,4
3,An.coluzzii,2,5,ctrl,Hybrid,300,193,107,4,4
3,An.coluzzii,2,1,trait_e,contr_le,300,29,271,7,3
3,An.coluzzii,2,2,trait_e,contr_le,300,0,300,1,0
3,An.coluzzii,2,3,trait_e,contr_le,300,52,248,8,2
3,An.coluzzii,2,4,trait_e,contr_le,300,0,300,1,0
3,An.coluzzii,2,5,trait_e,contr_le,300,87,213,8,4
3,An.coluzzii,2,1,trait_e,RFP,300,68,232,4,3
3,An.coluzzii,2,2,trait_e,RFP,300,189,111,7,4
3,An.coluzzii,2,3,trait_e,RFP,300,96,204,3,3
3,An.coluzzii,2,4,trait_e,RFP,300,17,283,5,4
3,An.coluzzii,2,5,trait_e,RFP,300,164,136,3,2
3,An.coluzzii,2,1,trait_e,Hybrid,300,4,296,9,11
3,An.coluzzii,2,2,trait_e,Hybrid,300,177,123,5,3
3,An.coluzzii,2,3,trait_e,Hybrid,300,201,99,4,4
3,An.coluzzii,2,4,trait_e,Hybrid,300,123,177,9,8
3,An.coluzzii,2,5,trait_e,Hybrid,300,94,206,7,6
1,An.coluzzii,1,1,contr_le,ctrl,300,186,114,1,2
1,An.coluzzii,1,2,contr_le,ctrl,300,188,112,3,2
1,An.coluzzii,1,3,contr_le,ctrl,300,203,97,2,2
1,An.coluzzii,1,4,contr_le,ctrl,300,202,98,4,4
1,An.coluzzii,1,5,contr_le,ctrl,300,190,110,2,4
1,An.coluzzii,1,1,contr_le,RFP,300,199,101,3,2
1,An.coluzzii,1,2,contr_le,RFP,300,171,129,2,2
1,An.coluzzii,1,3,contr_le,RFP,300,186,114,3,4
1,An.coluzzii,1,4,contr_le,RFP,300,176,124,3,2
1,An.coluzzii,1,5,contr_le,RFP,300,157,143,4,2
1,An.coluzzii,1,1,contr_le,Hybrid,300,182,118,3,4
1,An.coluzzii,1,2,contr_le,Hybrid,300,167,133,3,4
1,An.coluzzii,1,3,contr_le,Hybrid,300,209,91,3,4
1,An.coluzzii,1,4,contr_le,Hybrid,300,177,123,4,5
1,An.coluzzii,1,5,contr_le,Hybrid,300,201,99,3,4
1,An.coluzzii,1,1,trait_e,ctrl,300,75,225,8,7
1,An.coluzzii,1,2,trait_e,ctrl,300,86,214,4,3
1,An.coluzzii,1,3,trait_e,ctrl,300,74,226,7,9
1,An.coluzzii,1,4,trait_e,ctrl,300,170,130,5,6
1,An.coluzzii,1,5,trait_e,ctrl,300,17,283,9,8
1,An.coluzzii,1,1,trait_e,RFP,300,59,241,2,2
1,An.coluzzii,1,2,trait_e,RFP,300,79,221,3,6
1,An.coluzzii,1,3,trait_e,RFP,300,11,289,7,5
1,An.coluzzii,1,4,trait_e,RFP,300,0,300,9,6
1,An.coluzzii,1,5,trait_e,RFP,300,55,245,10,10
1,An.coluzzii,1,1,trait_e,Hybrid,300,57,243,10,7
1,An.coluzzii,1,2,trait_e,Hybrid,300,99,201,8,8
1,An.coluzzii,1,3,trait_e,Hybrid,300,26,274,9,8
1,An.coluzzii,1,4,trait_e,Hybrid,300,24,276,11,9
1,An.coluzzii,1,5,trait_e,Hybrid,300,0,300,1,1
2,An.coluzzii,1,1,contr_le,ctrl,300,181,119,2,3
2,An.coluzzii,1,2,contr_le,ctrl,300,191,109,4,4
2,An.coluzzii,1,3,contr_le,ctrl,300,172,128,4,5
2,An.coluzzii,1,4,contr_le,ctrl,300,219,81,3,2
2,An.coluzzii,1,5,contr_le,ctrl,300,210,90,2,5
2,An.coluzzii,1,1,contr_le,RFP,300,174,126,3,3
2,An.coluzzii,1,2,contr_le,RFP,300,149,151,4,5
2,An.coluzzii,1,3,contr_le,RFP,300,185,115,3,4
2,An.coluzzii,1,4,contr_le,RFP,300,171,129,4,3
2,An.coluzzii,1,5,contr_le,RFP,300,242,58,2,3
2,An.coluzzii,1,1,contr_le,Hybrid,300,209,91,4,5
2,An.coluzzii,1,2,contr_le,Hybrid,300,178,122,3,4
2,An.coluzzii,1,3,contr_le,Hybrid,300,196,104,2,2
2,An.coluzzii,1,4,contr_le,Hybrid,300,194,106,4,3
2,An.coluzzii,1,5,contr_le,Hybrid,300,173,127,3,4
2,An.coluzzii,1,1,trait_e,ctrl,300,172,300,6,5
