Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
1,1 day,26,27,28,30,26,30,30,28,26,29,28,29,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
1.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,An.kisumu
2,1 day,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,0,0,0,An.kisumu
2.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,An.kisumu
3,1 day,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,3,2,1,0,0,0,0,An.kisumu
3.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,5,3,0,0,0,0,An.kisumu
4,1 day,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,2,3,2,0,0,0,0,An.kisumu
4.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2,4,4,0,0,0,0,An.kisumu
5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,4,2,5,0,0,0,0,An.kisumu
5.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,2,3,2,0,1,0,0,An.kisumu
6,1 day,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,5,4,0,3,0,0,0,0,An.kisumu
6.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,3,1,2,6,1,0,0,0,0,An.kisumu
7,1 day,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,3,1,1,2,0,0,0,0,An.kisumu
